query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q2S1N5-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q2S1N5-F1-model_v4 Ribosome maturation factor RimP	0.157	56	43	28	83	102	153	1.462E-01	71
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-C3MT45-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-C3MT45-F1-model_v4 UPF0248 protein M1425_2629	0.120	81	66	11	91	3	78	3.650E-01	65
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-B6YWG5-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-B6YWG5-F1-model_v4 UPF0248 protein TON_0940	0.073	81	65	11	91	6	76	5.767E-01	64
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q8U0X0-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q8U0X0-F1-model_v4 Glutamyl-tRNA(Gln) amidotransferase subunit D	0.151	77	61	10	86	2	74	2.182E-01	64
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q8U1C1-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q8U1C1-F1-model_v4 UPF0248 protein PF1300	0.084	82	65	10	91	5	76	5.446E-01	63
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q9YDH4-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q9YDH4-F1-model_v4 UPF0248 protein APE_0939	0.123	87	69	1	87	1	80	3.256E-01	63
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q9UZT8-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q9UZT8-F1-model_v4 UPF0248 protein PYRAB10580	0.084	81	66	11	91	6	78	5.144E-01	62
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-P76394-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-P76394-F1-model_v4 Uncharacterized protein YegJ	0.082	89	77	5	89	40	128	1.304E-01	62
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q9V0T9-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-Q9V0T9-F1-model_v4 Glutamyl-tRNA(Gln) amidotransferase subunit D	0.109	59	52	28	86	16	74	2.590E-01	60
LOKIASV2_3767_ESMFold_hypothetical_protein	AF-O59132-F1-model_v4	LOKIASV2_3767_ESMFold_hypothetical_protein	AF-O59132-F1-model_v4 Glutamyl-tRNA(Gln) amidotransferase subunit D	0.132	77	62	10	86	2	74	3.650E-01	57
