query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-O29984-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-O29984-F1-model_v4 Uncharacterized protein AF_0255	0.243	72	54	36	107	15	86	5.374E-02	151
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q57874-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q57874-F1-model_v4 Uncharacterized protein MJ0432	0.202	79	55	40	109	2	80	1.481E-01	125
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q88JD1-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q88JD1-F1-model_v4 Arsenic resistance transcriptional regulator ArsR2	0.240	83	58	32	108	1	83	2.141E-01	124
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P52144-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P52144-F1-model_v4 Arsenical resistance operon repressor	0.224	89	58	30	105	1	89	1.481E-01	123
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-O28467-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-O28467-F1-model_v4 Uncharacterized protein AF_1808	0.216	72	56	37	108	2	73	3.241E-01	118
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-O31178-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-O31178-F1-model_v4 Transcriptional repressor PagR	0.153	78	61	36	108	18	95	2.458E-01	118
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P77295-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P77295-F1-model_v4 Probable HTH-type transcriptional regulator YgaV	0.164	79	60	36	108	15	93	1.952E-01	118
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P15905-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P15905-F1-model_v4 Arsenical resistance operon repressor	0.247	85	53	34	105	5	89	1.551E-01	118
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q58183-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q58183-F1-model_v4 Uncharacterized protein MJ0773	0.197	81	60	34	109	1	81	1.232E-01	118
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P20047-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P20047-F1-model_v4 Cadmium resistance transcriptional regulatory protein CadC	0.175	77	60	36	109	33	109	2.956E-01	112
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q88LK1-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q88LK1-F1-model_v4 Arsenic resistance transcriptional regulator ArsR1	0.217	92	66	24	108	5	96	2.823E-01	111
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q58721-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q58721-F1-model_v4 Uncharacterized HTH-type transcriptional regulator MJ1325	0.166	76	60	36	108	8	83	5.380E-01	110
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P30339-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P30339-F1-model_v4 Cadmium resistance transcriptional regulatory protein CadC	0.162	80	61	36	109	33	112	4.273E-01	109
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P37374-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P37374-F1-model_v4 Cadmium resistance transcriptional regulatory protein CadC homolog	0.235	85	60	29	107	25	109	2.695E-01	108
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q56405-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q56405-F1-model_v4 Cadmium resistance transcriptional regulatory protein CadC	0.200	80	58	36	109	32	111	4.273E-01	104
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P0A4U3-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P0A4U3-F1-model_v4 Cadmium resistance transcriptional regulatory protein CadC	0.226	84	57	33	107	26	109	3.095E-01	100
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P30346-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P30346-F1-model_v4 Probable mercury resistance operon repressor	0.156	99	78	16	109	1	99	2.956E-01	89
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q5MK23-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q5MK23-F1-model_v4 Protein ARV 2	0.131	237	182	86	322	18	228	7.419E-02	89
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P0A4U2-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P0A4U2-F1-model_v4 Cadmium resistance transcriptional regulatory protein CadC	0.226	84	57	33	107	26	109	8.528E-01	87
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-O34341-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-O34341-F1-model_v4 Uncharacterized protein YebC	0.129	226	192	100	320	36	261	8.136E-02	87
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P96683-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-P96683-F1-model_v4 Uncharacterized HTH-type transcriptional regulator YdfF	0.186	111	86	30	140	1	107	3.394E-01	83
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q6IQ85-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q6IQ85-F1-model_v4 Protein YIPF6	0.170	198	150	120	317	52	233	1.781E-01	82
LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q6Q271-F1-model_v4	LOKIASV2_4100_ESMFold_hypothetical_protein	AF-Q6Q271-F1-model_v4 p-hydroxyphenylacetate 3-hydroxylase, reductase component	0.110	139	106	26	145	176	314	1.123E-01	82
