query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-A6UNL1-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-A6UNL1-F1-model_v4 Homoserine O-acetyltransferase	0.333	128	85	19	146	364	491	8.880E-14	458
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q58332-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q58332-F1-model_v4 Uncharacterized protein MJ0922	0.284	136	93	18	148	2	137	1.087E-13	443
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-B8GHE0-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-B8GHE0-F1-model_v4 Homoserine O-acetyltransferase	0.255	129	92	19	147	364	488	1.152E-12	421
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q2NGH9-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q2NGH9-F1-model_v4 Homoserine O-acetyltransferase	0.299	127	86	19	145	366	488	1.613E-12	419
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-F7XKY8-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-F7XKY8-F1-model_v4 Homoserine O-acetyltransferase	0.320	128	84	19	146	364	487	1.232E-12	416
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q8TME4-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q8TME4-F1-model_v4 Homoserine O-acetyltransferase	0.238	130	95	19	148	414	539	1.846E-12	410
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-D7E9E0-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-D7E9E0-F1-model_v4 Homoserine O-acetyltransferase	0.307	130	87	19	148	364	489	1.726E-12	409
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q8TPT4-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q8TPT4-F1-model_v4 L-aspartate semialdehyde sulfurtransferase	0.250	127	92	22	148	376	499	4.147E-12	408
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q54H97-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q54H97-F1-model_v4 CBS domain-containing protein DDB_G0289609	0.233	136	96	23	148	2	137	1.726E-12	407
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q12XS2-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q12XS2-F1-model_v4 Homoserine O-acetyltransferase	0.251	127	91	19	145	365	487	3.167E-12	407
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-P54606-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-P54606-F1-model_v4 CBS domain-containing protein YhcV	0.278	121	85	24	144	2	120	9.966E-12	403
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-P32987-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-P32987-F1-model_v4 Uncharacterized 17.7 kDa protein in bps2 3'region	0.243	123	91	23	145	2	122	1.956E-11	395
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q58629-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q58629-F1-model_v4 Uncharacterized protein MJ1232	0.303	132	88	21	152	167	293	4.147E-12	387
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-D3E3E4-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-D3E3E4-F1-model_v4 Homoserine O-acetyltransferase	0.233	124	91	22	145	369	487	1.709E-11	387
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-K2QXP6-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-K2QXP6-F1-model_v4 Homoserine O-acetyltransferase	0.240	129	94	18	146	365	489	1.396E-11	386
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q57564-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-Q57564-F1-model_v4 L-aspartate semialdehyde sulfurtransferase	0.291	125	85	24	148	388	508	4.147E-12	379
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-P74081-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-P74081-F1-model_v4 A-adding tRNA nucleotidyltransferase	0.266	139	98	23	161	328	461	1.140E-11	376
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-P42851-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-P42851-F1-model_v4 Inosine-5'-monophosphate dehydrogenase	0.305	121	78	26	146	95	207	1.066E-11	372
LOKIASV2_1848_ESMFold_hypothetical_protein	AF-A2SQW3-F1-model_v4	LOKIASV2_1848_ESMFold_hypothetical_protein	AF-A2SQW3-F1-model_v4 Homoserine O-acetyltransferase	0.232	125	92	19	143	362	482	6.155E-11	369
