query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q9Z0X1-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q9Z0X1-F1-model_v4 Apoptosis-inducing factor 1, mitochondrial	0.172	80	64	222	299	19	98	8.223E+00	26
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q59L25-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q59L25-F1-model_v4 Altered inheritance of mitochondria protein 24, mitochondrial	0.141	138	107	205	342	283	407	3.597E+00	23
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-C4YPQ0-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-C4YPQ0-F1-model_v4 Altered inheritance of mitochondria protein 24, mitochondrial	0.141	138	107	205	342	274	398	5.907E+00	20
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q05018-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q05018-F1-model_v4 Salivary gland SP38-40.A protein	0.117	122	105	182	303	85	204	8.689E+00	19
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q550G0-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q550G0-F1-model_v4 Peroxisome biogenesis factor 16	0.117	278	190	22	299	44	259	4.016E+00	18
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-A6ZWU0-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-A6ZWU0-F1-model_v4 Autophagy-related protein 11	0.106	366	285	24	389	453	772	3.404E+00	18
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q10364-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q10364-F1-model_v4 Serine/threonine-protein kinase sck2	0.079	152	136	195	343	110	261	2.730E+00	17
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q02328-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q02328-F1-model_v4 Huntington interacting protein related 1	0.108	296	247	22	299	67	362	5.907E+00	17
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q2KJ09-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q2KJ09-F1-model_v4 Ubiquitin carboxyl-terminal hydrolase 16	0.119	174	132	141	291	289	462	5.007E+00	16
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-P34244-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-P34244-F1-model_v4 Probable serine/threonine-protein kinase HSL1	0.136	167	121	226	366	1349	1515	4.484E+00	15
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-P46606-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-P46606-F1-model_v4 Homeobox protein HD1	0.115	262	170	39	300	27	219	9.182E+00	14
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-F1N5V1-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-F1N5V1-F1-model_v4 Ubiquitin carboxyl-terminal hydrolase 37	0.076	289	173	82	370	793	980	6.970E+00	14
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-E2RK09-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-E2RK09-F1-model_v4 Ubiquitin carboxyl-terminal hydrolase 37	0.114	282	163	89	370	796	980	4.016E+00	14
LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q54N54-F1-model_v4	LOKIASV2_2630_ESMFold_hypothetical_protein	AF-Q54N54-F1-model_v4 Putative uncharacterized protein DDB_G0285495	0.114	322	259	38	359	184	476	8.689E+00	13
