query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9DCM0-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9DCM0-F1-model_v4 Persulfide dioxygenase ETHE1, mitochondrial	0.256	238	164	2	239	24	245	5.693E-18	639
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q3T094-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q3T094-F1-model_v4 Persulfide dioxygenase ETHE1, mitochondrial	0.255	238	165	2	239	24	245	8.424E-18	627
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-O95571-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-O95571-F1-model_v4 Persulfide dioxygenase ETHE1, mitochondrial	0.264	238	163	2	239	24	245	1.844E-17	623
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9C8L4-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9C8L4-F1-model_v4 Persulfide dioxygenase ETHE1 homolog, mitochondrial	0.265	238	168	2	239	53	282	7.475E-17	600
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P54435-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P54435-F1-model_v4 Uncharacterized protein YrkH	0.248	241	177	3	243	123	358	8.841E-17	573
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q3JRV4-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q3JRV4-F1-model_v4 Probable metallo-hydrolase BURPS1710b_2304	0.206	280	192	1	243	1	280	2.255E-14	458
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-O24496-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-O24496-F1-model_v4 Hydroxyacylglutathione hydrolase cytoplasmic	0.230	258	173	1	226	1	258	4.938E-14	438
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q8UAA9-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q8UAA9-F1-model_v4 Beta-lactamase hydrolase-like protein	0.228	267	193	2	252	146	412	4.175E-14	438
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P75849-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P75849-F1-model_v4 Hydroxyacylglutathione hydrolase GloC	0.270	213	154	1	213	1	212	9.594E-13	412
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q54EJ5-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q54EJ5-F1-model_v4 Glyoxylase B2	0.206	268	191	2	243	6	273	1.878E-12	405
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q6PII5-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q6PII5-F1-model_v4 Hydroxyacylglutathione hydrolase-like protein	0.260	181	127	1	181	1	172	1.007E-11	401
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9DB32-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9DB32-F1-model_v4 Hydroxyacylglutathione hydrolase-like protein	0.199	272	211	1	265	1	272	2.821E-14	400
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9PFB0-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9PFB0-F1-model_v4 Beta-lactamase hydrolase-like protein	0.226	268	196	2	255	146	413	8.578E-13	399
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q051W5-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q051W5-F1-model_v4 Hydroxyacylglutathione hydrolase	0.193	266	191	1	238	1	266	7.727E-14	389
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q5ZLY2-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q5ZLY2-F1-model_v4 Hydroxyacylglutathione hydrolase-like protein	0.196	273	213	1	266	1	273	1.209E-13	388
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-B8F6A3-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-B8F6A3-F1-model_v4 Hydroxyacylglutathione hydrolase	0.215	232	171	2	220	1	232	6.484E-13	387
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P64262-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P64262-F1-model_v4 Uncharacterized protein Mb2612c	0.241	220	159	1	210	1	220	3.476E-12	385
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q87AD6-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q87AD6-F1-model_v4 Beta-lactamase hydrolase-like protein	0.215	267	198	2	254	146	412	6.084E-12	385
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-O94250-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-O94250-F1-model_v4 Probable hydroxyacylglutathione hydrolase C13B11.03c	0.214	250	187	1	239	1	250	2.648E-13	384
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P9WMW3-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P9WMW3-F1-model_v4 Uncharacterized protein Rv2581c	0.238	220	159	1	210	1	220	5.753E-12	382
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P54501-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-P54501-F1-model_v4 Probable metallo-hydrolase YqgX	0.221	210	160	1	210	1	207	3.676E-12	377
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-A2C116-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-A2C116-F1-model_v4 Hydroxyacylglutathione hydrolase	0.164	235	183	2	221	9	243	2.101E-12	375
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-B7K3R6-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-B7K3R6-F1-model_v4 Hydroxyacylglutathione hydrolase	0.227	254	183	1	238	1	254	9.594E-13	374
LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9UT36-F1-model_v4	LOKIASV2_2357_ESMFold_rhodanese-like_domain-containing_protein	AF-Q9UT36-F1-model_v4 Probable hydroxyacylglutathione hydrolase C824.07	0.211	252	185	2	237	4	255	4.599E-12	370
