query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q5NGJ7-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q5NGJ7-F1-model_v4 Tol-Pal system protein TolB	0.164	249	180	30	278	198	413	4.168E-11	335
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q28TS0-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q28TS0-F1-model_v4 Tol-Pal system protein TolB	0.148	253	186	26	278	205	423	1.008E-10	329
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q3KL97-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q3KL97-F1-model_v4 Protein TolB homolog	0.178	253	184	27	279	178	402	1.307E-10	326
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-O84604-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-O84604-F1-model_v4 Protein TolB homolog	0.187	250	180	26	275	177	398	9.086E-11	326
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B0B8H3-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B0B8H3-F1-model_v4 Protein TolB homolog	0.181	254	183	27	280	178	401	1.695E-10	324
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B1JG47-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B1JG47-F1-model_v4 Tol-Pal system protein TolB	0.151	246	175	33	278	202	408	1.528E-10	321
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q74H67-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q74H67-F1-model_v4 Tol-Pal system protein TolB	0.147	253	181	26	278	198	410	2.438E-10	321
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q9PJE1-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q9PJE1-F1-model_v4 Protein TolB homolog	0.184	255	183	26	280	172	396	2.849E-10	316
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q8ZGZ1-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q8ZGZ1-F1-model_v4 Tol-Pal system protein TolB	0.150	247	176	33	279	202	409	2.568E-10	315
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B0BA52-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B0BA52-F1-model_v4 Protein TolB homolog	0.178	253	184	27	279	178	402	3.892E-10	315
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q0AC40-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q0AC40-F1-model_v4 Tol-Pal system protein TolB	0.133	249	182	31	279	201	411	4.318E-10	314
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A1JRK8-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A1JRK8-F1-model_v4 Tol-Pal system protein TolB	0.154	247	175	33	279	202	409	2.315E-10	314
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q66D90-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q66D90-F1-model_v4 Tol-Pal system protein TolB	0.150	247	176	33	279	202	409	3.001E-10	314
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A4WQ04-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A4WQ04-F1-model_v4 Tol-Pal system protein TolB	0.164	253	181	26	278	205	422	4.548E-10	314
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q5NR65-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q5NR65-F1-model_v4 Tol-Pal system protein TolB	0.161	253	180	26	278	222	436	1.695E-10	314
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A9R2G2-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A9R2G2-F1-model_v4 Tol-Pal system protein TolB	0.154	247	175	33	279	202	409	2.198E-10	313
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q39J78-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q39J78-F1-model_v4 Tol-Pal system protein TolB	0.160	249	178	31	279	196	408	6.211E-10	313
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A1VNY1-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A1VNY1-F1-model_v4 Tol-Pal system protein TolB	0.138	237	166	31	267	198	391	4.790E-10	312
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B2VBQ7-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B2VBQ7-F1-model_v4 Tol-Pal system protein TolB	0.147	246	176	33	278	202	408	3.161E-10	312
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A7FKQ3-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A7FKQ3-F1-model_v4 Tol-Pal system protein TolB	0.150	247	176	33	279	202	409	3.330E-10	312
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B2K8G1-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B2K8G1-F1-model_v4 Tol-Pal system protein TolB	0.150	247	176	33	279	202	409	4.318E-10	310
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A4TNS8-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A4TNS8-F1-model_v4 Tol-Pal system protein TolB	0.150	247	176	33	279	202	409	4.548E-10	308
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q1CAF2-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q1CAF2-F1-model_v4 Tol-Pal system protein TolB	0.150	247	176	33	279	202	409	4.548E-10	308
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q9Z7C4-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q9Z7C4-F1-model_v4 Protein TolB homolog	0.163	254	188	26	279	177	402	1.756E-09	308
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q256H8-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q256H8-F1-model_v4 Protein TolB homolog	0.162	254	189	26	279	178	403	1.159E-09	307
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q1CFM9-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q1CFM9-F1-model_v4 Tol-Pal system protein TolB	0.150	247	176	33	279	202	409	5.046E-10	307
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A9AFQ0-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A9AFQ0-F1-model_v4 Tol-Pal system protein TolB	0.145	249	181	31	279	196	408	1.100E-09	307
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q3J041-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q3J041-F1-model_v4 Tol-Pal system protein TolB	0.164	253	181	26	278	205	422	8.483E-10	307
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q609K4-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q609K4-F1-model_v4 Tol-Pal system protein TolB	0.131	245	184	31	275	199	411	1.178E-10	306
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A4W889-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A4W889-F1-model_v4 Tol-Pal system protein TolB	0.138	246	178	33	278	202	408	5.046E-10	305
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A8LHQ6-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-A8LHQ6-F1-model_v4 Tol-Pal system protein TolB	0.167	248	177	31	278	211	424	1.159E-09	304
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q821G5-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q821G5-F1-model_v4 Protein TolB homolog	0.164	252	186	28	279	180	403	2.052E-09	303
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B7LAE7-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B7LAE7-F1-model_v4 Tol-Pal system protein TolB	0.138	247	178	33	279	202	409	5.598E-10	303
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B5QX24-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B5QX24-F1-model_v4 Tol-Pal system protein TolB	0.142	246	177	33	278	202	408	3.892E-10	303
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B7M6B0-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B7M6B0-F1-model_v4 Tol-Pal system protein TolB	0.150	247	176	33	279	202	409	3.161E-10	302
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B5BC62-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B5BC62-F1-model_v4 Tol-Pal system protein TolB	0.142	246	177	33	278	202	408	4.099E-10	302
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q5PCN2-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q5PCN2-F1-model_v4 Tol-Pal system protein TolB	0.142	246	177	33	278	202	408	4.790E-10	301
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q8ZQT5-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q8ZQT5-F1-model_v4 Tol-Pal system protein TolB	0.142	246	177	33	278	202	408	5.046E-10	300
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-P0A855-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-P0A855-F1-model_v4 Tol-Pal system protein TolB	0.150	247	176	33	279	202	409	4.099E-10	299
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q2NUL4-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-Q2NUL4-F1-model_v4 Tol-Pal system protein TolB	0.142	246	177	33	278	202	408	9.914E-10	299
LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B7LKL8-F1-model_v4	LOKIASV2_3179_ESMFold_hypothetical_protein	AF-B7LKL8-F1-model_v4 Tol-Pal system protein TolB	0.147	259	187	21	279	190	409	3.508E-10	298
