24/10/02 10:27:18 | INFO | root | Reading sequences from ../sequence_files/protein.faa
24/10/02 10:27:18 | INFO | root | Loaded 3779 sequences from ../sequence_files/protein.faa
24/10/02 10:27:18 | INFO | root | Loading model
24/10/02 10:27:57 | INFO | root | Starting Predictions
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_01350 hypothetical protein with length 29, pLDDT 79.0, pTM 0.381 in 0.1s (amortized, batch size 28). 1 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_05510 hypothetical protein with length 29, pLDDT 75.8, pTM 0.407 in 0.1s (amortized, batch size 28). 2 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_26720 hypothetical protein with length 29, pLDDT 78.4, pTM 0.412 in 0.1s (amortized, batch size 28). 3 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_07420 hypothetical protein with length 30, pLDDT 66.7, pTM 0.332 in 0.1s (amortized, batch size 28). 4 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_31680 hypothetical protein with length 30, pLDDT 70.3, pTM 0.353 in 0.1s (amortized, batch size 28). 5 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_12390 hypothetical protein with length 31, pLDDT 55.2, pTM 0.235 in 0.1s (amortized, batch size 28). 6 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_26780 hypothetical protein with length 31, pLDDT 83.9, pTM 0.460 in 0.1s (amortized, batch size 28). 7 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_00830 hypothetical protein with length 32, pLDDT 83.5, pTM 0.469 in 0.1s (amortized, batch size 28). 8 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_07780 hypothetical protein with length 32, pLDDT 77.5, pTM 0.433 in 0.1s (amortized, batch size 28). 9 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_09090 hypothetical protein with length 33, pLDDT 81.0, pTM 0.471 in 0.1s (amortized, batch size 28). 10 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_27620 hypothetical protein with length 33, pLDDT 82.9, pTM 0.494 in 0.1s (amortized, batch size 28). 11 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_09080 hypothetical protein with length 34, pLDDT 71.5, pTM 0.421 in 0.1s (amortized, batch size 28). 12 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_36270 hypothetical protein with length 34, pLDDT 70.6, pTM 0.379 in 0.1s (amortized, batch size 28). 13 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_15950 hypothetical protein with length 35, pLDDT 65.7, pTM 0.404 in 0.1s (amortized, batch size 28). 14 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_33650 hypothetical protein with length 35, pLDDT 63.1, pTM 0.296 in 0.1s (amortized, batch size 28). 15 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_37460 50S ribosomal protein L36 with length 37, pLDDT 71.3, pTM 0.476 in 0.1s (amortized, batch size 28). 16 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_04780 hypothetical protein with length 39, pLDDT 45.3, pTM 0.206 in 0.1s (amortized, batch size 28). 17 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_16680 hypothetical protein with length 39, pLDDT 85.1, pTM 0.667 in 0.1s (amortized, batch size 28). 18 / 3779 completed.
24/10/02 10:28:01 | INFO | root | Predicted structure for DESULFOASV1_25870 hypothetical protein with length 39, pLDDT 78.2, pTM 0.500 in 0.1s (amortized, batch size 28). 19 / 3779 completed.
